market_rank,title,developer,price_usd,market_id,market_url,stars
70,BreakTheBlocks Lite,snctlnSoftware,$0.00,com.snctln.game.BreakTheBlocks,https://market.android.com/details?id=com.snctln.game.BreakTheBlocks,3.7
71,Sniper,roidstudio,$0.00,com.roidgame.sniper,https://market.android.com/details?id=com.roidgame.sniper,3.5
72,Bubble Popper,bytesequencing.com,$0.00,com.bytesequencing.bubble_popper_ads,https://market.android.com/details?id=com.bytesequencing.bubble_popper_ads,3.9
73,Raging Thunder - LITE,polarbit,$0.00,com.polarbit.rthunderlite,https://market.android.com/details?id=com.polarbit.rthunderlite,3.8
74,Break the Bricks,Candy Mobile,$0.00,com.candydroid.breakblock,https://market.android.com/details?id=com.candydroid.breakblock,4.0
75,Bubble Ball,Nay Games,$0.00,com.naygames.bubbleball,https://market.android.com/details?id=com.naygames.bubbleball,3.6
76,Blow Up (Lite),Camel Games,$0.00,com.camelgames.blowuplite,https://market.android.com/details?id=com.camelgames.blowuplite,4.1
77,Hungry Shark 2 Free!,Future Games of London,$0.00,com.fgol.sharkfree2,https://market.android.com/details?id=com.fgol.sharkfree2,4.2
78,Super Sudoku,Kiwi Mobile,$0.00,com.kiwifruitmobile.sudoku,https://market.android.com/details?id=com.kiwifruitmobile.sudoku,4.5
79,AirAttack HD Part 1,Art In Games,$0.00,com.ArtInGames.AirAttackHDLite,https://market.android.com/details?id=com.ArtInGames.AirAttackHDLite,4.6
80,Find Difference #2,Everest Games,$0.00,com.marchgames.familyguyfindthedifference,https://market.android.com/details?id=com.marchgames.familyguyfindthedifference,4.3
81,Fruit Ninja Kaka Valentine,Ninja Studio,$0.00,com.ninja.studio.kaka.valentine,https://market.android.com/details?id=com.ninja.studio.kaka.valentine,3.7
82,Snake,www.FreewareLovers.com,$0.00,com.example.android.snake,https://market.android.com/details?id=com.example.android.snake,2.9
83,GUN BROS,Glu Mobile,$0.00,com.glu.android.gunbros_free,https://market.android.com/details?id=com.glu.android.gunbros_free,4.0
84,PewPew,Jean-FranÃ§ois Geyelin,$0.00,com.jyaif.pewpew,https://market.android.com/details?id=com.jyaif.pewpew,4.3
85,Dominoes!,bytesequencing.com,$0.00,com.bytesequencing.android.dominoes.free,https://market.android.com/details?id=com.bytesequencing.android.dominoes.free,3.8
86,Tic Tac Toe - Glow,mobivention,$0.00,de.xazen.tictactoe,https://market.android.com/details?id=de.xazen.tictactoe,3.7
87,Bistro Cook,Quasar Studios,$0.00,quasar.bistrocook,https://market.android.com/details?id=quasar.bistrocook,4.1
88,PAC-MAN Championship Ed. Demo,Namco Networks,$0.00,namco.pacman.cedemo,https://market.android.com/details?id=namco.pacman.cedemo,3.7
89,SUPER KO BOXING 2,Glu Mobile,$0.00,com.glu.android.skob2_free,https://market.android.com/details?id=com.glu.android.skob2_free,3.9
90,Basketball Shots 3D,Creative Mobile,$0.00,com.sas.basketball,https://market.android.com/details?id=com.sas.basketball,4.1
91,Plumber,Niek Linnenbank,$0.00,nl.nieklinnenbank.plumber,https://market.android.com/details?id=nl.nieklinnenbank.plumber,3.6
92,Touch Pool 2D Lite,Seltice Systems LLC,$0.00,com.selticeapps.poollite,https://market.android.com/details?id=com.selticeapps.poollite,3.6
93,Bonsai Blast,Glu Mobile,$0.00,com.glu.android.bonsai,https://market.android.com/details?id=com.glu.android.bonsai,4.6
94,MX Moto (Lite),Camel Games,$0.00,com.camelgames.mxmotorlite,https://market.android.com/details?id=com.camelgames.mxmotorlite,4.3
95,Roller (Lite),Camel Games,$0.00,com.camelgames.skeeballlite,https://market.android.com/details?id=com.camelgames.skeeballlite,3.4
96,Leo's RC Simulator,Leopoldo Bueno Castillo,$0.00,leofs.android.free,https://market.android.com/details?id=leofs.android.free,4.3
97,Ninja Rush Deluxe,Feelingtouch Inc.,$0.00,com.feelingtouch.NinjaRunDeluxe,https://market.android.com/details?id=com.feelingtouch.NinjaRunDeluxe,4.5
98,ã¢ãã¤ã«ã»ãã¯ãã«ãã­éç3D,KONAMI,$0.00,jp.co.konami.android.pawapuro3d,https://market.android.com/details?id=jp.co.konami.android.pawapuro3d,3.6
99,Backgammon Free,AI Factory Limited,$0.00,uk.co.aifactory.backgammonfree,https://market.android.com/details?id=uk.co.aifactory.backgammonfree,4.2
100,Classic Tetris -Full,Pocket Game,$0.00,com.duckduck.falling,https://market.android.com/details?id=com.duckduck.falling,3.7
