market_rank,title,developer,price_usd,market_id,market_url,stars
87,Rom Buddy,MoMojo,$1.99,com.momojo.rombud,https://market.android.com/details?id=com.momojo.rombud,4.4
88,Caligo Chaser,Com2uS,$2.99,com.com2us.caligo,https://market.android.com/details?id=com.com2us.caligo,4.4
89,Sky Force Reloaded,Infinite Dreams,$3.21,pl.idreams.skyforcereloaded,https://market.android.com/details?id=pl.idreams.skyforcereloaded,4.5
90,Labyrinth,Illusion Labs,$4.82,se.illusionlabs.labyrinth.full,https://market.android.com/details?id=se.illusionlabs.labyrinth.full,4.7
91,Dungeon Defenders: FW Deluxe,Trendy Entertainment,$4.99,com.trendy.ddapp,https://market.android.com/details?id=com.trendy.ddapp,3.7
92,X-Plane 9,Laminar Research,$9.99,com.laminarresearch.xplane_default,https://market.android.com/details?id=com.laminarresearch.xplane_default,4.4
93,Baseball SuperstarsÂ® 2010,GAMEVIL Inc.,$4.99,com.gamevil.bs2010,https://market.android.com/details?id=com.gamevil.bs2010,4.4
94,TurboFly 3D,Osaris Games,$1.95,net.osaris.turbofly,https://market.android.com/details?id=net.osaris.turbofly,4.4
95,Radiant HD,Hexage Ltd,$2.40,net.hexage.radiant.hd,https://market.android.com/details?id=net.hexage.radiant.hd,4.6
96,Smoke A Bowl,FDP Games,$1.99,com.fdp.smokeabowl,https://market.android.com/details?id=com.fdp.smokeabowl,4.5
97,Cake Mania Celebrity Chef,GameHouse,$2.99,com.realarcade.CMA,https://market.android.com/details?id=com.realarcade.CMA,3.9
98,Shopper's Paradise,Awesome Android Apps,$2.99,com.sgg.sp,https://market.android.com/details?id=com.sgg.sp,4.5
99,AirAttack HD Part 2,Art In Games,$1.92,com.ArtInGames.AirAttackHDPart2,https://market.android.com/details?id=com.ArtInGames.AirAttackHDPart2,4.2
100,Radiant,Hexage Ltd,$2.40,net.hexage.radiant,https://market.android.com/details?id=net.hexage.radiant,4.7
101,Flight Control,Namco Networks,$2.99,com.namcowireless.flightcontrol,https://market.android.com/details?id=com.namcowireless.flightcontrol,4.0
102,Meteor Blitz,Alley Labs,$0.99,com.alleylabs.MeteorBlitz,https://market.android.com/details?id=com.alleylabs.MeteorBlitz,4.3
103,Wheel of Fortune,Sony Pictures Television,$4.99,com.gamelion.WheelOfFortune,https://market.android.com/details?id=com.gamelion.WheelOfFortune,3.8
